export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-08-28,2026-08-28T03:00:38.077Z,79,112507086,Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,JavaScript,128793,2017-12-20,2019-09-26,2022-04-11,https://gitstarclub.com/Chalarangelo/30-seconds-of-code,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/112507086.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,80,29028775,react/react-native,react,react-native,C++,126394,2015-03-31,2017-03-14,2020-06-15,https://gitstarclub.com/react/react-native,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/29028775.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,81,612354784,ggml-org/llama.cpp,ggml-org,llama.cpp,C++,125211,2023-03-20,2024-02-22,,https://gitstarclub.com/ggml-org/llama.cpp,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/612354784.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,82,20580498,kubernetes/kubernetes,kubernetes,kubernetes,Go,124913,2016-06-05,2019-05-11,2023-03-30,https://gitstarclub.com/kubernetes/kubernetes,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/20580498.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,83,9384267,electron/electron,electron,electron,C++,122656,2015-07-26,2017-09-04,2021-06-06,https://gitstarclub.com/electron/electron,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/9384267.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,84,585146387,shadcn-ui/ui,shadcn-ui,ui,TypeScript,121877,2023-04-04,2024-03-11,,https://gitstarclub.com/shadcn-ui/ui,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/585146387.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,85,299354207,rustdesk/rustdesk,rustdesk,rustdesk,Rust,121521,2021-07-24,2023-11-13,2026-04-06,https://gitstarclub.com/rustdesk/rustdesk,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/299354207.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,86,1106996539,nextlevelbuilder/ui-ux-pro-max-skill,nextlevelbuilder,ui-ux-pro-max-skill,Python,119960,2026-02-03,,,https://gitstarclub.com/nextlevelbuilder/ui-ux-pro-max-skill,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1106996539.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,87,27193779,nodejs/node,nodejs,node,JavaScript,119306,2015-10-07,2018-05-31,2022-11-01,https://gitstarclub.com/nodejs/node,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/27193779.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,88,55076063,Hack-with-Github/Awesome-Hacking,Hack-with-Github,Awesome-Hacking,,118847,2017-08-06,2021-10-09,2025-07-22,https://gitstarclub.com/Hack-with-Github/Awesome-Hacking,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/55076063.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,89,14098069,justjavac/free-programming-books-zh_CN,justjavac,free-programming-books-zh_CN,,118460,2016-10-13,2019-06-25,2022-11-01,https://gitstarclub.com/justjavac/free-programming-books-zh_CN,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/14098069.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,90,655806940,microsoft/generative-ai-for-beginners,microsoft,generative-ai-for-beginners,Jupyter Notebook,118369,2023-11-17,2024-07-02,,https://gitstarclub.com/microsoft/generative-ai-for-beginners,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/655806940.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,91,15634981,godotengine/godot,godotengine,godot,C++,116010,2017-12-13,2022-04-01,2025-01-14,https://gitstarclub.com/godotengine/godot,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/15634981.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,92,724712,rust-lang/rust,rust-lang,rust,Rust,115947,2016-05-20,2020-12-14,2024-07-12,https://gitstarclub.com/rust-lang/rust,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/724712.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,93,770153867,harry0703/MoneyPrinterTurbo,harry0703,MoneyPrinterTurbo,Python,114808,2024-04-26,,,https://gitstarclub.com/harry0703/MoneyPrinterTurbo,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/770153867.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,94,576201,mrdoob/three.js,mrdoob,three.js,JavaScript,114696,2016-07-22,2020-06-06,2025-03-27,https://gitstarclub.com/mrdoob/three.js,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/576201.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,95,199570071,2dust/v2rayN,2dust,v2rayN,C#,114454,2020-04-19,2023-08-05,,https://gitstarclub.com/2dust/v2rayN,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/199570071.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,96,965415649,openai/codex,openai,codex,Rust,113964,2025-04-17,,,https://gitstarclub.com/openai/codex,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/965415649.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,97,943149,d3/d3,d3,d3,Shell,113529,2015-09-27,2018-05-08,,https://gitstarclub.com/d3/d3,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/943149.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,98,455229168,immich-app/immich,immich-app,immich,TypeScript,112382,2023-05-02,2024-11-08,,https://gitstarclub.com/immich-app/immich,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/455229168.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,99,63539055,jaywcjlove/awesome-mac,jaywcjlove,awesome-mac,Swift,111623,2017-04-05,2022-01-05,,https://gitstarclub.com/jaywcjlove/awesome-mac,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/63539055.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,100,20929025,microsoft/TypeScript,microsoft,TypeScript,Go,110571,2016-06-18,2019-05-23,2023-08-18,https://gitstarclub.com/microsoft/TypeScript,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/20929025.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
