export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,51,599320067,langflow-ai/langflow,langflow-ai,langflow,Python,149889,2023-07-21,2025-02-26,2025-09-28,https://gitstarclub.com/langflow-ai/langflow,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/599320067.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,52,6498492,airbnb/javascript,airbnb,javascript,JavaScript,148087,2015-07-06,2017-07-27,2020-09-15,https://gitstarclub.com/airbnb/javascript,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/6498492.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,53,626805178,langgenius/dify,langgenius,dify,TypeScript,145993,2023-11-17,2024-11-04,2025-06-27,https://gitstarclub.com/langgenius/dify,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/626805178.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,54,111583593,Genymobile/scrcpy,Genymobile,scrcpy,C,143864,2019-02-11,2021-05-13,2024-01-25,https://gitstarclub.com/Genymobile/scrcpy,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/111583593.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,55,701547123,open-webui/open-webui,open-webui,open-webui,Python,142300,2024-03-25,2024-12-22,2025-09-19,https://gitstarclub.com/open-webui/open-webui,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/701547123.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,56,943398999,x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,,140944,2025-04-19,2025-06-08,,https://gitstarclub.com/x1xhlol/system-prompts-and-models-of-ai-tools,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/943398999.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,57,1039520,ytdl-org/youtube-dl,ytdl-org,youtube-dl,Python,140536,2016-04-16,2019-08-13,2021-09-06,https://gitstarclub.com/ytdl-org/youtube-dl,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1039520.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,58,62607227,yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,TypeScript,140401,2017-10-14,2020-12-04,2023-10-23,https://gitstarclub.com/yangshun/tech-interview-handbook,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/62607227.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,59,70107786,vercel/next.js,vercel,next.js,JavaScript,140093,2017-03-17,2020-04-22,2022-08-23,https://gitstarclub.com/vercel/next.js,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/70107786.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,60,552661142,langchain-ai/langchain,langchain-ai,langchain,Python,139780,2023-03-11,2023-07-08,2025-02-14,https://gitstarclub.com/langchain-ai/langchain,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/552661142.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
